pair	participant	round	target	first_cue 	FAS	BAS_first	1st_response	FAS(cue->guess)	BAS(guess->cue)	2nd_cue	FAS	BAS	2nd_response	FAS	BAS	3rd_cue	FAS	BAS	3rd_response	FAS	BAS	4th_cue	FAS	BAS	4th_response	FAS	BAS	5th_cue	5th_response	FAS	BAS	condition (camera on/off)	1st_language	relation	ideas_ whatexperimentabout			comments	Version
A	1	1	bank	vault	0,02	0,26	bank	0,26	0,02	na	na	na	na	na	na	na	na	na	na													face	English	None	#poviding more difficult cues as quite similar on target list? --> influence although  role switch			"#1st response ""pole"" because guesser forgot about target word list"	1
A	2	2	brewery	lager	na	na	ale	0,02	0,01	production	na	na	brewery	na	na	na	na	na	na													face	English	None	#so not solely about associations of words			#forgot to start recording, only started from second cue word of second trial	1
A	1	3	sill	window	0,86	0,08	pane	0,17	0,69	ledge	0,04	na	sill	0,04	na	na	na	na	na													face	English	None	#about time(ing)?			#for second trial, camera was accidentally for both on	1
A	2	4	cob	corn	0,86	0,17	maize	0,02	0,83	web	0,03	na	cob	0,03	na	na	na	na	na													face	English	None					1
A	1	5	retina	eye	0,84	na	iris	0,04	0,55	back##	na	na	retina	na	na	na	na	na	na													face	English	None				#back not directly related to target word	1
A	2	6	loaf	sourdough	na	na	yeast	na	na	meat	0,06	na	loaf	na	0,06	na	na	na	na													face	English	None					1
A	1	7	grater	cheese	0,8	na	fondue	na	0,62	shredder	0,01	na	grater	na	0,01	na	na	na	na													face	English	None					1
A	2	8	yolk	egg	0,81	0,12	omelette	0,01	0,42	runny	na	0,01	yolk	0,01	na	na	na	na	na													face	English	None					1
A	1	9	steed	stallion	0,01	na	steed	na	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	10	cod	battards #battered?	na	na	cod	na	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	1	11	pepperoni	feta	na	na	pepperoni	na	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	12	crossword	friptick	na	na	crossword	na	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	1	13	blaze	inferno	na	0,02	blaze	0,02	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	14	affection	care	0,01	0,02	affection	0,02	0,01	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	1	15	crescent	Islam	na	na	crescent	na	na	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	16	occupation	business	na	0,02	vocation	na	na	job	0,69	0,02	career			work	0,12	0,4	occupation													face	English	None				"#before the 3rd cue signaller mumble sth like ""What are other synonyms"" - so correct guess could be affected by that after third cue!"	1
A	1	17	bouquet	wedding	0,02		bouquet	na	0,02	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	18	acquaintance	casual	0,03	0,02	acquaintance	0,02	0,03	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	1	19	bulb	flower	0,07	0,02	bulb	0,02	0,07	na	na	na	na	na	na	na	na	na	na													face	English	None					1
A	2	20	butcher	cleaver	0,03	na	veal	na	na	mince	na	na	meat			counter	na	na	butcher													face	English	None				"#guesser understood ""favour"" instead Ob ""cleaver"" as  the 1st cue for butcher"	1
B	3	1	bank	money	0,4	na	cash	0,26	0,74	transaction	na	0,14	bank	0,14	na	na	na	na	na													non-face	English	None	#correlation to words				1
B	4	2	brewery	whiskey	na	na	keg	na	na	manufactual	na	na	brewery	na	na	na	na	na	na													non-face	English	None	#how accurate cues are(/more than right number of a cue??)				1
B	3	3	sill	window	0,86	0,08	pane	0,17	0,69	edge	na	na	sill	na	na	na	na	na	na													non-face	English	None					1
B	4	4	cob	corn	0,86	0,17	cob	0,17	0,86	na	na	na	na	na	na	na	na	na	na													non-face	English	None					1
B	3	5	retina	eye	0,84	na	brow	0,01	0,47	lense	na	na	retina	na	na	na	na	na	na													non-face	English	None				"#signaller mixed up rounds: so signaller said ""cheese"" - answer was ""brow"" and as a second cue signaller said ""kitchen"", I interrupted"	1
