target,cue,frequency,
"Ahorn	Baum	25",,,
"Ahorn	Sirup	19",,,
"Ahorn	Kanada	13",,,
"Ahorn	Blatt	10",,,
"Ahorn	Herbst	3",,,
"Ahorn	Wald	3",,,
"Ahorn	Blätter	2",,,
"Ahorn	Heimat	1",,,
"Ahorn	blühen	1",,,
"Ahorn	buchen	1",,,
"Ahorn	Laub	1",,,
"Ahorn	Dichtsaft	1",,,
"Ahorn	Nüsse	1",,,
"Ahorn	Falter	1",,,
"Ahorn	Eschen	1",,,
"Ahorn	Walt	1",,,
"Ahorn	Tee	1",,,
"Ahorn	Amerika	1",,,
"Ahorn	Medizin	1",,,
"Ahornblatt	Kanada	18",,,
"Ahornblatt	Baum	16",,,
"Ahornblatt	Herbst	8",,,
"Ahornblatt	Sirup	7",,,
"Ahornblatt	Laub	7",,,
"Ahornblatt	grün	2",,,
"Ahornblatt	Wald	2",,,
"Ahornblatt	Wappen	1",,,
"Ahornblatt	Blatt	1",,,
"Ahornblatt	Toronto	1",,,
"Ahornblatt	Zuckersaft	1",,,
"Ahornblatt	fünf	1",,,
"Ahornblatt	bunt	1",,,
"Ahornblatt	Natur	1",,,
"Ahornblatt	groß	1",,,
"Ahornblatt	abfallen	1",,,
"Ahornblatt	Märchen	1",,,
"Ahornblatt	Kastanien	1",,,
"Ahornblatt	grau	1",,,
"Ahornblatt	Maple	1",,,
"Ahornblatt	weiß	1",,,
"Ahornblatt	Heimat	1",,,
"Ahornblatt	Ausflug	1",,,
"Ahornblatt	Quebec	1",,,
"Ahornblatt	Dicksaft	1",,,
"Ahornblatt	Indian_Summer	1",,,
"Ahornblatt	Pflanzenkunde	1",,,
"Ahornblatt	Pfennig	1",,,
"Ahornblatt	Feldweg	1",,,
"Ahornblatt	farbig	1",,,
"Ahornblatt	Adern	1",,,
"Ahornblatt	Eishockey	1",,,
"Ahornblatt	rot	1",,,
"Album	Musik	15",,,
"Album	Fotos	12",,,
"Album	Foto	7",,,
"Album	sammeln	6",,,
"Album	Briefmarken	4",,,
"Album	Erinnerung	3",,,
"Album	Buch	3",,,
"Album	Photo	3",,,
"Album	Erinnerungen	2",,,
"Album	CD	2",,,
"Album	Bilder	2",,,
"Album	einkleben	2",,,
"Album	Sammlung	1",,,
"Album	Hobby	1",,,
"Album	Gruppe	1",,,
"Album	Film	1",,,
"Album	Plattenalbum	1",,,
"Album	Schallplatten	1",,,
"Album	Fotografien	1",,,
"Album	bestellen	1",,,
"Album	Vergangenheit	1",,,
"Album	zeigen	1",,,
"Album	sortieren	1",,,
"Album	Künstler	1",,,
"Album	Gedenk	1",,,
"Album	Hochzeit	1",,,
"Album	anschauen	1",,,
"Album	Lieder	1",,,
"Album	CD-Player	1",,,
"Album	kaufen	1",,,
"Album	Familie	1",,,
"Album	Lied	1",,,
"Album	Seite	1",,,
"Album	lesen	1",,,
"Album	Schallplatte	1",,,
"Album	Regal	1",,,
"Album	Ball	1",,,
"Album	online	1",,,
"Album	Singer	1",,,
"Album	Leder	1",,,
"Anlage	Musik	7",,,
"Anlage	Park	7",,,
"Anlage	Geld	4",,,
"Anlage	Sport	3",,,
"Anlage	Stereoanlage	3",,,
"Anlage	Stereo	3",,,
"Anlage	sparen	2",,,
"Anlage	Geräte	2",,,
"Anlage	Gebäude	2",,,
"Anlage	Garten	2",,,
"Anlage	Werk	2",,,
"Anlage	Vermögen	2",,,
"Anlage	Maschine	2",,,
"Anlage	Zinsen	1",,,
"Anlage	Finanzen	1",,,
"Anlage	machen	1",,,
"Anlage	Ferienanlage	1",,,
"Anlage	Stereogerät	1",,,
"Anlage	Produktion	1",,,
"Anlage	Geldanlage	1",,,
"Anlage	Betriebsanlage	1",,,
"Anlage	Email	1",,,
"Anlage	Maschinen	1",,,
"Anlage	grün	1",,,
"Anlage	Freizeit	1",,,
"Anlage	Aggregat	1",,,
"Anlage	Aufbau	1",,,
"Anlage	Gartenanlage	1",,,
"Anlage	Firma	1",,,
"Anlage	Ausrichtung	1",,,
"Anlage	Kinder	1",,,
"Anlage	Vorsorge	1",,,
"Anlage	Alarm	1",,,
"Anlage	Aktie	1",,,
"Anlage	Anlagenbau	1",,,
"Anlage	Aktien	1",,,
"Anlage	Blumen	1",,,
"Anlage	Lautsprecher	1",,,
"Anlage	Musikgerät	1",,,
"Anlage	Rente	1",,,
"Anlage	Gebilde	1",,,
"Anlage	Schutzhelm	1",,,
"Anlage	Brief	1",,,
"Anlage	Spielplatz	1",,,
"Anlage	ergänzen	1",,,
"Anlage	Investition	1",,,
"Anlage	Technik	1",,,
"Anlage	Golfkurs	1",,,
"Anlage	Vererbung	1",,,
"Anlage	Rasen	1",,,
"Anlage	Grundstück	1",,,
"Anlage	Brunnen	1",,,
"Anlage	Industrie	1",,,
"Anlage	Fabrik	1",,,
"Anlage	Wertschriften	1",,,
"Apparat	Gerät	10",,,
"Apparat	Maschine	8",,,
"Apparat	Radio	4",,,
"Apparat	Fernseher	4",,,
"Apparat	Fotoapparat	3",,,
"Apparat	rasieren	3",,,
"Apparat	Werkzeug	2",,,
"Apparat	Krankenhaus	2",,,
"Apparat	Foto	2",,,
"Apparat	Hilfsmittel	2",,,
"Apparat	Technik	2",,,
"Apparat	Fernsehapparat	2",,,
"Apparat	reparieren	1",,,
"Apparat	Quirl	1",,,
"Apparat	machen	1",,,
"Apparat	Kontraption	1",,,
"Apparat	Elektronik	1",,,
"Apparat	elektrisch	1",,,
"Apparat	komplex	1",,,
"Apparat	Stasi	1",,,
"Apparat	Funktion	1",,,
"Apparat	Automaten	1",,,
"Apparat	mechanisch	1",,,
"Apparat	hilflos	1",,,
"Apparat	Thomas_Edison	1",,,
"Apparat	Telefon	1",,,
"Apparat	mixen	1",,,
"Apparat	Bürokratie	1",,,
"Apparat	erscheinen	1",,,
"Apparat	Machine	1",,,
"Apparat	groß	1",,,
"Apparat	Automatisierung	1",,,
"Apparat	veraltet	1",,,
"Apparat	Hilfe	1",,,
"Apparat	Knöpfe	1",,,
"Apparat	Strom	1",,,
"Apparat	Rechtschreibfehler	1",,,
"Apparat	bedienen	1",,,
"Apparat	Betrieb	1",,,
"Apparat	Erfindung	1",,,
"Apparat	Kamera	1",,,
"Apparat	Diktatur	1",,,
"Apparat	Fernsehen	1",,,
"Apparat	arbeiten	1",,,
"Apparat	Photo	1",,,
"Apparat	Plattenspieler	1",,,
"Apparat	Hörapparat	1",,,
"Apparat	Kopierer	1",,,
"Apparat	Medizin	1",,,
"Apparat	Fotos	1",,,
"Apparat	Photoapparat	1",,,
"Apparat	konstruieren	1",,,
"Apparat	Stativ	1",,,
"Apparat	Mechanik	1",,,
"Arm	Hand	15",,,
"Arm	Ellenbogen	10",,,
"Arm	Körper	5",,,
"Arm	Bizeps	3",,,
"Arm	Finger	3",,,
"Arm	Schulter	3",,,
"Arm	Bein	3",,,
"Arm	reich	2",,,
"Arm	Gelenk	2",,,
"Arm	Speiche	2",,,
"Arm	drücken	2",,,
"Arm	Elle	2",,,
"Arm	Körperteil	2",,,
"Arm	Geld	2",,,
"Arm	Muskel	2",,,
"Arm	Bruch	2",,,
"Arm	Schmutz	1",,,
"Arm	Fuß	1",,,
"Arm	tragen	1",,,
"Arm	Glied	1",,,
"Arm	Muskeln	1",,,
"Arm	Handgelenk	1",,,
"Arm	mechanisch	1",,,
"Arm	haarig	1",,,
"Arm	Hemd	1",,,
"Arm	Länge	1",,,
"Arm	Brust	1",,,
"Arm	Armleuchter	1",,,
"Arm	Band	1",,,
"Arm	gebrochen	1",,,
"Arm	umarmen	1",,,
"Arm	T-Shirt	1",,,
"Arm	Trizeps	1",,,
"Arm	Atrophie	1",,,
"Arm	Armbrust	1",,,
"Arm	Ärmel	1",,,
"Arm	Umarmung	1",,,
"Arm	Afrika	1",,,
"Arm	Not	1",,,
"Arm	Armbeuge	1",,,
"Arm	beugen	1",,,
"Arm	Gips	1",,,
"Arm	Haut	1",,,
"Armband	Schmuck	21",,,
"Armband	Uhr	14",,,
"Armband	Gold	6",,,
"Armband	Handgelenk	6",,,
"Armband	Silber	4",,,
"Armband	Kette	3",,,
"Armband	Reif	2",,,
"Armband	schön	2",,,
"Armband	Armreif	2",,,
"Armband	Geschenk	2",,,
"Armband	Hand	2",,,
"Armband	Leder	2",,,
"Armband	ausgehen	1",,,
"Armband	Halskette	1",,,
"Armband	Glieder	1",,,
"Armband	Fuß	1",,,
"Armband	Freundin	1",,,
"Armband	tragen	1",,,
"Armband	Erinnerungen	1",,,
"Armband	Platin	1",,,
"Armband	Frau	1",,,
"Armband	Geld	1",,,
"Armband	Diamant	1",,,
"Armband	Edelmetall	1",,,
"Armband	Ohrring	1",,,
"Armband	Metall	1",,,
"Armband	Schmuckstück	1",,,
"Armband	Finger	1",,,
"Armband	Brosche	1",,,
"Armband	Perlen	1",,,
"Armband	kindisch	1",,,
"Armband	Freundschaftsbändchen	1",,,
"Armband	Ringe	1",,,
"Armband	Kennzeichnung	1",,,
"Armband	Mädchen	1",,,
"Armbrust	Pfeil	14",,,
"Armbrust	Mittelalter	10",,,
"Armbrust	schießen	7",,,
"Armbrust	Bolzen	6",,,
"Armbrust	Bogen	5",,,
"Armbrust	Waffe	4",,,
"Armbrust	Ritter	4",,,
"Armbrust	Burg	3",,,
"Armbrust	Jagd	3",,,
"Armbrust	Wilhelm_Tell	2",,,
"Armbrust	Tell	2",,,
"Armbrust	Wald	2",,,
"Armbrust	tödlich	1",,,
"Armbrust	spannen	1",,,
"Armbrust	Schütze	1",,,
"Armbrust	Schiller	1",,,
"Armbrust	erlegen	1",,,
"Armbrust	Jäger	1",,,
"Armbrust	Sport	1",,,
"Armbrust	Bogenschießen	1",,,
"Armbrust	Ziel	1",,,
