"","target","cue","results_forward","results_backward"
"5396","Krone","König",0.793814432989691,0.257731958762887
"5397","Krone","Gold",0.0412371134020619,NA
"5398","Krone","Königin",0.0412371134020619,0.0412371134020619
"5399","Krone","golden",0.0309278350515464,NA
"5400","Krone","Macht",0.0206185567010309,NA
"5401","Krone","Frosch",0.0206185567010309,NA
"5402","Krone","Schmuck",0.0103092783505155,NA
"5403","Krone","Zahn",0.0103092783505155,NA
"5404","Krone","Märchen",0.0103092783505155,NA
"5405","Krone","Zacken",0.0103092783505155,NA
"5406","Krone","Tiara",0.0103092783505155,NA
"3685","Hafen","Schiff",0.724489795918367,NA
"3686","Hafen","Meer",0.0408163265306122,NA
"3687","Hafen","Boot",0.0306122448979592,NA
"3688","Hafen","Wasser",0.0306122448979592,NA
"3689","Hafen","Hamburg",0.0306122448979592,NA
"3690","Hafen","sicher",0.0204081632653061,NA
"3691","Hafen","Fähre",0.0102040816326531,NA
"3692","Hafen","Matrose",0.0102040816326531,0.0104166666666667
"3693","Hafen","Ehe",0.0102040816326531,NA
"3694","Hafen","Cuxhaven",0.0102040816326531,NA
"3695","Hafen","Sicherheit",0.0102040816326531,NA
"3696","Hafen","allein",0.0102040816326531,NA
"3697","Hafen","Norddeutschland",0.0102040816326531,NA
"3698","Hafen","segeln",0.0102040816326531,NA
"3699","Hafen","Fisch",0.0102040816326531,NA
"3700","Hafen","See",0.0102040816326531,NA
"3701","Hafen","Anker",0.0102040816326531,0.0102040816326531
"3702","Hafen","Reise",0.0102040816326531,NA
"1302","Brunnen","Wasser",0.680412371134021,NA
"1303","Brunnen","tief",0.123711340206186,NA
"1304","Brunnen","Eimer",0.0515463917525773,0.0102040816326531
"1305","Brunnen","fallen",0.0412371134020619,NA
"1306","Brunnen","Trevi",0.0103092783505155,NA
"1307","Brunnen","Graben",0.0103092783505155,NA
"1308","Brunnen","Spindel",0.0103092783505155,NA
"1309","Brunnen","Tor",0.0103092783505155,NA
"1310","Brunnen","klar",0.0103092783505155,NA
"1311","Brunnen","Wasserversorgung",0.0103092783505155,NA
"1312","Brunnen","Froschkönig",0.0103092783505155,NA
"1313","Brunnen","Loch",0.0103092783505155,NA
"1314","Brunnen","hineinfallen",0.0103092783505155,NA
"1315","Brunnen","Frosch",0.0103092783505155,NA
"4477","Kamm","Haar",0.673469387755102,NA
"4478","Kamm","Bürste",0.0816326530612245,NA
"4479","Kamm","kämmen",0.0816326530612245,NA
"4480","Kamm","Zacken",0.0306122448979592,NA
"4481","Kamm","Zahn",0.0204081632653061,NA
"4482","Kamm","Laus",0.0204081632653061,NA
"4483","Kamm","Haare",0.0204081632653061,0.0306122448979592
"4484","Kamm","Frisur",0.0204081632653061,NA
"4485","Kamm","morgens",0.0102040816326531,NA
"4486","Kamm","Mann",0.0102040816326531,NA
"4487","Kamm","spielen",0.0102040816326531,NA
"4488","Kamm","Horn",0.0102040816326531,NA
"4489","Kamm","Zinken",0.0102040816326531,NA
"1766","Dach","Ziegel",0.32,NA
"1767","Dach","Haus",0.29,0.134020618556701
"1768","Dach","Schutz",0.09,NA
"1769","Dach","Schornstein",0.04,NA
"1770","Dach","oben",0.03,NA
"1771","Dach","Regen",0.03,NA
"1772","Dach","rot",0.02,NA
"1773","Dach","Schornsteinfeger",0.02,NA
"1774","Dach","Giebel",0.02,NA
"1775","Dach","Gebälk",0.01,NA
"1776","Dach","Wärmespender",0.01,NA
"1777","Dach","Speicher",0.01,NA
"1778","Dach","undicht",0.01,NA
"1779","Dach","Spatz",0.01,NA
"1780","Dach","Weihnachtsmann",0.01,NA
"1781","Dach","spitz",0.01,NA
"1782","Dach","decken",0.01,NA
"1783","Dach","Fenster",0.01,NA
"1784","Dach","kaputt",0.01,NA
"1785","Dach","Loch",0.01,NA
"1786","Dach","Dachpfanne",0.01,NA
"1787","Dach","Dachdecker",0.01,NA
"1788","Dach","Handwerker",0.01,NA
"5923","Lilie","Blume",0.622448979591837,0.0101010101010101
"5924","Lilie","Pflanze",0.0612244897959184,NA
"5925","Lilie","Blüte",0.0306122448979592,NA
"5926","Lilie","weiß",0.0306122448979592,NA
"5927","Lilie","Frankreich",0.0204081632653061,NA
"5928","Lilie","Wasser",0.0204081632653061,NA
"5929","Lilie","riechen",0.0102040816326531,NA
"5930","Lilie","Friedhof",0.0102040816326531,NA
"5931","Lilie","blühen",0.0102040816326531,NA
"5932","Lilie","Teich",0.0102040816326531,NA
"5933","Lilie","Rose",0.0102040816326531,NA
"5934","Lilie","Eleganz",0.0102040816326531,NA
"5935","Lilie","teuer",0.0102040816326531,NA
"5936","Lilie","duftend",0.0102040816326531,NA
"5937","Lilie","Duft",0.0102040816326531,NA
"5938","Lilie","Beerdigung",0.0102040816326531,NA
"5939","Lilie","exotisch",0.0102040816326531,NA
"5940","Lilie","grün",0.0102040816326531,NA
"5941","Lilie","lila",0.0102040816326531,NA
"5942","Lilie","zart",0.0102040816326531,NA
"5943","Lilie","Blütenpflanze",0.0102040816326531,NA
"5944","Lilie","stinken",0.0102040816326531,NA
"5945","Lilie","violett",0.0102040816326531,NA
"5946","Lilie","Tattoo",0.0102040816326531,NA
"5947","Lilie","Bourbonen",0.0102040816326531,NA
"5948","Lilie","Hochzeit",0.0102040816326531,NA
"5949","Lilie","Tod",0.0102040816326531,NA
"6901","Paddel","Boot",0.63,0.0103092783505155
"6902","Paddel","Kanu",0.08,0.0204081632653061
"6903","Paddel","Wasser",0.06,NA
"6904","Paddel","rudern",0.05,NA
"6905","Paddel","Fluss",0.03,NA
"6906","Paddel","Floß",0.02,NA
"6907","Paddel","Ruder",0.02,NA
"6908","Paddel","Hexe",0.01,NA
"6909","Paddel","Ruderboot",0.01,NA
"6910","Paddel","Sport",0.01,NA
"6911","Paddel","Kajak",0.01,NA
"6912","Paddel","Simpsons",0.01,NA
"6913","Paddel","Gummiboot",0.01,NA
"6914","Paddel","Faltboot",0.01,NA
"6915","Paddel","Urlaub",0.01,NA
"6916","Paddel","Spaß",0.01,NA
"6917","Paddel","Schiff",0.01,NA
"6918","Paddel","Schlauchboot",0.01,NA
"3220","Gebiss","Zahn",0.520408163265306,0.0103092783505155
"3221","Gebiss","Oma",0.112244897959184,NA
"3222","Gebiss","Zahnarzt",0.0816326530612245,NA
"3223","Gebiss","alt",0.0612244897959184,NA
"3224","Gebiss","Opa",0.0408163265306122,NA
"3225","Gebiss","Senioren",0.0306122448979592,NA
"3226","Gebiss","Gebissreiniger",0.0204081632653061,NA
"3227","Gebiss","Großeltern",0.0102040816326531,NA
"3228","Gebiss","reinigen",0.0102040816326531,NA
"3229","Gebiss","Alter",0.0102040816326531,NA
"3230","Gebiss","Dritten",0.0102040816326531,NA
"3231","Gebiss","Rentner",0.0102040816326531,NA
