pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
A,1,1,bank,vault,,,bank,0.26,0.02,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,#poviding more difficult cues as quite similar on target list? --> influence although  role switch,"#1st response ""pole"" because guesser forgot about target word list",1,UK (Ireland),
A,2,2,brewery,lager,,,ale,0.02,0.01,production,na,na,brewery,na,na,,,,,,,,,,,,,,,,,,,face,English,#so not solely about associations of words,"#forgot to start recording, only started from second cue word of second trial",1,UK (England),
A,1,3,sill,window,,,pane,0.17,0.69,ledge,0.04,na,sill,0.04,na,,,,,,,,,,,,,,,,,,,face,English,#about time(ing)?,"#for second trial, camera was accidentally for both on",1,,
A,2,4,cob,corn,,,maize,0.02,0.83,web,0.03,na,cob,0.03,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,5,retina,eye,,,iris,0.04,0.55,back,na,na,retina,na,na,,,,,,,,,,,,,,,,,,,face,English,,#back not directly related to target word,1,,
A,2,6,loaf,sourdough,,,yeast,,,meat,0.06,na,loaf,na,0.06,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,7,grater,cheese,,,fondue,,,shredder,0.01,na,grater,na,0.01,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,2,8,yolk,egg,,,omelette,,,runny,na,0.01,yolk,0.01,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,9,steed,stallion,,,steed,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,2,10,cod,battered,,,cod,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,11,pepperoni,feta,,,pepperoni,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,2,12,crossword,friptick,,,crossword,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,13,blaze,inferno,,,blaze,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,2,14,affection,care,,,affection,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,1,15,crescent,Islam,,,crescent,,,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,face,English,,,1,,
A,2,16,occupation,business,,,vocation,,,job,0.69,0.02,career,,,work,0.12,0.4,occupation,,,,,,,,,,,,,,,face,English,,"#before the 3rd cue signaller mumble sth like ""What are other synonyms"" - so correct guess could be affected by that after third cue!",1,,
A,1,17,bouquet,wedding,,,bouquet,,,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,face,English,,,1,,
A,2,18,acquaintance,casual,,,acquaintance,,,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,face,English,,,1,,
