pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country
A,1,1,Krone,König,0.77,0.25,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,"#knowing it's about common ground in communication, so which words said most often/most likely to be said",#barely know each other counted as no relation,1,
A,2,2,Hafen,Schiff,0.71,na,Boot,,,anlegen,,,Hafen,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,1,3,Brunnen,Wasser,0.66,na,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,2,4,Kamm,striegeln,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,1,5,Dach,Haus,0.67,0.37,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,2,6,Lilie,Blume,0.61,0.1,Blüte,,,Beerdigung,,,Rose,,,Schwert,,,Lilie,,,,,,,,,,,,,,,face,German,,,1,
A,1,7,Paddel,Kanu,,0.2,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,2,8,Gebiss,Zähne,,,Zahnarzt,,,Zahnreihe,,,Gebiss,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,1,9,Feder,leicht,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,2,10,Schirm,Schutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,1,11,Radio,Musik,0.51,na,Kassette,,,aufdrehen,,,Radio,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,2,12,Axt,hacken,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
A,1,13,Butter,zart,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
