"","pair","participant","round","target","first_cue","fas_tcfirst","bas_tcfirst","first_response","fas_crfirst","bas_crfirst","second_cue","fas_tcsecond","bas_tcsecond","second_response","fas_crsecond","bas_crsecond","third_cue","fas_tcthird","bas_tcthird","third_response","fas_crthird","bas_crthird","fourth_cue","fas_tcfourth","bas_tcfourth","fourth_response","fas_crfourth","bas_crfourth","fifth_cue","fas_tcfifth","bas_tcfifth","fifth_response","fas_crfifth","bas_crfifth","condition","language","ideas_whatexperimentabout","comments","version","country"
"1","A",1,1,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German","#knowing it's about common ground in communication, so which words said most often/most likely to be said","#barely know each other counted as no relation",1,NA
"2","A",2,2,"Hafen","Schiff",0.724489796,NA,"Boot",NA,NA,"anlegen",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"3","A",1,3,"Brunnen","Wasser",0.680412371,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"4","A",2,4,"Kamm","striegeln",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"5","A",1,5,"Dach","Haus",0.29,"0.134020619","Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"6","A",2,6,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"Beerdigung",0.010204082,NA,"Rose",NA,NA,"Schwert",NA,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"7","A",1,7,"Paddel","Kanu",0.08,"0.020408163","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"8","A",2,8,"Gebiss","Zähne",NA,NA,"Zahnarzt",NA,NA,"Zahnreihe",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"9","A",1,9,"Feder","leicht",0.087121212,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"10","A",2,10,"Schirm","Schutz",0.122605364,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
